"","state","2020-07-12","2020-07-13","2020-07-14","2020-07-15","2020-07-16","2020-07-17","2020-07-18","2020-07-19","2020-07-20","2020-07-21","2020-07-22","2020-07-23","2020-07-24","2020-07-25","p1_change_in_cases","p2_change_in_cases","p1_p2_percent_change_in_cases"
"1","Alabama",53587,55545,57255,59067,61088,63091,65234,67011,68891,70358,71813,74212,76005,78130,11647,11119,-4.53335622907186
"2","Alaska",1772,1843,1897,1958,2034,2083,2157,2275,2412,2523,2617,2682,2746,2866,385,591,53.5064935064935
"3","Arizona",122479,123917,128126,131411,134730,138575,141333,143644,145320,148730,150659,153029,156392,160055,18854,16411,-12.9574626074043
"4","Arkansas",28367,28939,29733,30297,31114,31762,32533,33228,33927,34655,35246,36259,37249,37981,4166,4753,14.0902544407105
"5","California",327676,336206,346593,355497,364761,374922,383194,391460,400195,410366,422528,433175,443096,453327,55518,61867,11.4359306891459
"6","Colorado",36933,37303,37761,38240,38817,39409,39811,40182,40649,41152,41747,42409,43098,43847,2878,3665,27.3453787352328
"7","Connecticut",47287,47510,47530,47636,47750,47893,47893,47893,48055,48096,48223,48232,48776,48776,606,883,45.7095709570957
"8","Delaware",12804,12879,12969,13050,13114,13337,13429,13519,13624,13746,13792,13924,14202,14175,625,656,4.96000000000001
"9","District of Columbia",10847,10906,10946,11026,11076,11115,11194,11261,11339,11427,11529,11571,11649,11717,347,456,31.4121037463977
"10","Florida",269803,282427,291621,301802,315767,327233,337561,350039,360386,369826,379611,389860,402304,414503,67758,64464,-4.86141857788011
"11","Georgia",108389,111937,114579,118147,120848,124267,128341,130794,132788,135865,139120,143857,147732,151262,19952,20468,2.58620689655173
"12","Guam",1281,1281,1281,1282,1283,1283,1284,1284,1288,1296,1299,1301,1306,1306,3,22,633.333333333333
"13","Hawaii",1201,1222,1243,1271,1290,1312,1332,1359,1371,1396,1413,1468,1526,1597,131,238,81.6793893129771
"14","Idaho",10971,11531,11962,12599,13261,13879,14433,14960,15380,15899,16395,16862,17411,17920,3462,2960,-14.5002888503755
"15","Illinois",155355,156288,157055,158451,159676,161042,162299,163284,164552,165534,167142,168766,170376,171669,6944,8385,20.7517281105991
"16","Indiana",52892,53327,54001,54698,55413,56160,57045,57965,58607,59344,60126,61079,62081,63030,4153,5065,21.9600288947749
"17","Iowa",35410,35631,35942,36536,37414,37903,38314,38813,39343,39721,40208,40796,41434,41886,2904,3073,5.81955922865014
"18","Kansas",19295,20265,20347,21157,21273,22199,22238,22459,23544,23606,24376,24518,25403,25464,2943,3005,2.10669384981312
"19","Kentucky",19762,20127,20702,21148,21617,22162,22750,23600,23978,24638,25169,25828,26628,27395,2988,3795,27.0080321285141
"20","Louisiana",78230,79935,82150,84241,86521,88700,88700,91816,95002,96693,99466,101762,103846,103846,10470,12030,14.8997134670487
"21","Maine",3539,3558,3566,3578,3598,3636,3646,3687,3711,3723,3723,3737,3757,3790,107,103,-3.73831775700935
