"","state","Sunday_retail","Monday_retail","Tuesday_retail","Wednesday_retail","Thursday_retail","Friday_retail","Saturday_retail","percent_female","percent_white","percent_under_24","percent_over_65","Sunday_groc","Monday_groc","Tuesday_groc","Wednesday_groc","Thursday_groc","Friday_groc","Saturday_groc","Sunday_parks","Monday_parks","Tuesday_parks","Wednesday_parks","Thursday_parks","Friday_parks","Saturday_parks","Sunday_transit","Monday_transit","Tuesday_transit","Wednesday_transit","Thursday_transit","Friday_transit","Saturday_transit","Sunday_work","Monday_work","Tuesday_work","Wednesday_work","Thursday_work","Friday_work","Saturday_work","Sunday_residential","Monday_residential","Tuesday_residential","Wednesday_residential","Thursday_residential","Friday_residential","Saturday_residential","p1_p2_percent_change_in_cases","public_mask_mandate_flag"
"1","Alabama",0,3,5,7,12,6,-24,51.7,67.8,31.5,17.4,-6,1,1,7,14,19,-3,0,12,5,7,16,35,17,3,0,2,5,11,-2,-28,2,1,0,-3,-6,-26,-21,1,-1,0,-1,-1,5,1,-4.53335622907186,0
"2","Alaska",-4,3,9,19,16,7,-22,48,64.2,33.9,12.3,-7,5,9,20,22,21,2,-46,6,44,50,55,133,61,-3,-3,6,11,7,5,-13,0,2,2,0,-5,-28,-16,2,0,-1,-3,-3,1,0,53.5064935064935,0
"3","Arizona",-2,1,1,1,4,1,-14,50.3,78.3,32,17.9,-7,1,1,5,7,9,1,0,2,1,1,4,10,0,-1,2,0,1,4,-1,-10,-2,1,0,-2,-3,-19,-13,2,0,1,0,0,4,2,-12.9574626074043,0
"4","Arkansas",-1,0,5,6,11,11,-15,51.1,76.7,32.6,17.4,-8,0,4,4,8,18,0,7,-11,10,-24,-13,78,7,6,2,1,2,3,0,-25,1,1,0,-2,-4,-24,-19,1,-1,-1,0,0,2,1,14.0902544407105,0
"5","California",1,3,4,5,7,6,-15,50.3,59.4,31.8,14.8,-7,2,0,4,9,15,1,-2,2,1,1,7,17,-10,0,1,-1,1,3,-1,-9,0,2,1,0,-2,-18,-16,1,0,-1,-1,-1,3,3,11.4359306891459,1
"6","Colorado",2,3,5,6,10,9,-18,49.6,83.7,31,14.6,-3,2,5,7,12,17,-3,2,1,2,16,25,61,0,3,3,3,5,6,0,-12,1,3,2,0,-3,-20,-15,1,-1,0,-1,-1,2,2,27.3453787352328,0
"7","Connecticut",-3,-2,-1,2,11,5,-13,51.1,74.6,30,17.7,-8,-2,-2,3,10,16,0,-30,-32,-47,-23,29,-47,128,-2,0,-1,5,9,-3,-6,0,3,1,0,-2,-22,-16,3,1,1,0,-2,7,-2,45.7095709570957,1
"8","Delaware",0,4,4,4,11,8,-16,51.7,67.7,29.5,19.5,-4,4,4,4,14,13,-5,4,13,10,-40,47,NA,NA,0,1,3,0,4,-8,-21,1,3,2,-1,-1,-20,-15,1,-1,0,0,-1,5,1,4.96000000000001,1
"9","District of Columbia",0,5,2,4,8,0,-3,52.6,42.5,28.3,12.4,-3,4,1,4,10,2,0,-4,10,0,-10,2,-4,44,-1,2,1,1,1,-7,1,2,3,3,0,1,-12,-6,1,-2,-1,-2,-4,0,-1,31.4121037463977,1
"10","Florida",-5,0,0,1,5,5,-12,51.1,74.5,28,21,-5,1,0,1,5,9,-5,-7,-4,-5,-8,0,4,-12,-1,-1,-1,1,3,-3,-12,0,0,0,-1,-3,-19,-13,2,1,0,0,0,4,2,-4.86141857788011,0
"11","Georgia",0,3,2,7,9,7,-17,51.3,57.8,33.2,14.4,-4,3,-1,6,9,15,-2,5,19,-5,16,10,31,9,4,0,2,5,7,-1,-17,3,1,0,-2,-3,-22,-19,2,0,-1,-1,-1,3,2,2.58620689655173,0
"12","Hawaii",-2,3,3,4,7,4,-12,50,24.1,29.6,19,-6,4,5,6,9,9,1,1,1,1,3,4,8,-9,1,0,0,3,5,-5,-6,1,3,2,1,-2,-28,-11,1,-1,-1,-2,-2,6,2,81.6793893129771,0
"13","Idaho",-6,-1,3,7,9,5,-24,49.7,89.4,34.4,16.1,-14,-2,2,9,16,21,7,-129,-143,-96,-22,30,72,NA,2,-4,1,8,12,1,-18,-2,-1,1,-1,-4,-23,-16,4,3,2,0,-1,3,0,-14.5002888503755,0
"14","Illinois",5,7,5,8,13,13,-21,50.9,71.4,31.3,16.1,-7,4,1,7,12,26,-3,15,18,-23,-1,-1,93,19,1,4,-1,4,5,5,-13,1,3,1,0,-3,-21,-22,1,-2,0,-1,-2,1,1,20.7517281105991,1
"15","Indiana",0,2,2,6,11,9,-18,50.7,82.8,33.1,16.1,-5,2,1,6,13,18,1,26,-1,-16,-7,19,100,156,7,2,3,7,10,-1,-15,2,0,0,-3,-6,-28,-21,1,0,1,0,-1,4,-2,21.9600288947749,0
"16","Iowa",-1,6,1,4,10,7,-23,50.2,89.9,32.7,17.5,-6,7,2,8,17,20,-4,-32,78,-26,-27,26,144,60,3,6,0,5,6,0,-21,0,2,0,-2,-4,-27,-24,2,-2,0,0,-2,3,0,5.81955922865014,0
"17","Kansas",-1,2,1,4,9,5,-22,50.4,83.6,34.2,16.4,-4,2,2,5,12,18,-1,-12,-8,-47,-20,1,19,18,9,2,1,5,10,-7,-23,1,1,0,-2,-5,-26,-20,1,0,0,0,-1,5,-1,2.10669384981312,0
"18","Kentucky",-2,1,1,7,12,9,-13,50.8,86.7,31.7,16.9,-6,-2,-2,5,11,14,3,-25,-7,-22,-26,11,60,90,4,2,2,5,8,-2,-18,0,1,0,-2,-4,-23,-16,2,0,0,0,-1,3,-2,27.0080321285141,1
"19","Louisiana",3,7,7,14,11,4,-16,51.2,61.8,32.4,15.9,-5,5,5,11,10,11,-1,1,17,17,31,17,-2,-5,0,4,4,12,10,0,-13,1,3,1,1,-2,-21,-14,2,-2,-2,-3,-2,5,2,14.8997134670487,0
"20","Maine",-3,-4,-1,11,14,14,-17,51.2,94,26.2,21.3,-8,-3,-1,10,15,22,-1,-33,-97,-81,62,96,99,141,9,-6,-6,8,12,4,-21,1,-1,-1,-1,-5,-23,-14,2,3,3,-1,-1,4,-2,-3.73831775700935,1
"21","Maryland",0,8,7,5,12,7,-12,51.6,54.5,30.8,15.9,-3,6,2,3,12,12,-4,-1,46,24,-27,38,39,16,1,4,2,2,5,-3,-15,2,3,3,0,0,-19,-13,0,-2,-2,0,-3,3,1,20.9193706981318,1
"22","Massachusetts",-1,-1,1,6,10,7,-15,51.5,77,29.6,17,-9,-1,1,4,9,15,-7,-41,-57,-56,-4,28,-11,83,-1,-1,-1,3,5,-3,-5,-1,1,1,0,-1,-18,-15,3,1,1,-1,-2,3,-2,5.66727605118831,1
"23","Michigan",4,6,6,6,9,5,-24,50.8,78.2,31,17.6,-4,5,6,9,14,18,-3,141,70,112,51,66,168,112,11,7,6,5,8,1,-11,3,2,2,-2,-5,-24,-21,-1,-1,-2,-1,-1,3,0,-16.1420863309353,1
"24","Minnesota",-1,1,5,6,10,3,-21,50.3,82.1,31.7,16.4,-4,-1,3,7,13,9,-13,8,-57,-13,-36,2,70,9,1,-4,-3,0,1,-8,-17,0,0,1,-1,-5,-24,-16,1,1,0,0,-2,3,0,28.0789721090567,0
"25","Mississippi",-1,6,6,10,13,12,-23,51.8,58,33.4,16.3,-8,3,1,5,10,19,-5,-2,18,14,11,10,32,-3,3,2,5,6,6,-2,-26,1,1,-1,-3,-5,-24,-18,1,-1,-1,-2,-1,3,2,52.167656053247,0
"26","Missouri",-1,3,-1,5,10,8,-19,51,81.8,31.5,17.2,-8,2,-2,6,14,20,1,-7,19,-67,-38,6,40,26,3,2,-2,3,8,1,-14,0,1,1,-2,-3,-27,-18,2,-1,1,1,-1,4,-1,37.8805394990366,0
"27","Montana",-3,-1,1,7,10,3,-23,49.7,88,30.6,19.5,-8,-2,-2,8,17,17,9,-64,-118,-105,-6,47,57,67,2,-1,0,11,23,9,-17,1,0,0,-1,-4,-24,-16,4,4,3,0,-1,4,-1,1.96353436185133,0
"28","Nebraska",0,5,3,8,13,9,-23,50,86.2,34.3,16.1,-5,6,3,9,17,25,3,8,15,-35,-21,22,73,7,5,6,-1,4,7,3,-14,-1,0,0,-2,-4,-27,-26,0,-1,0,-1,-1,4,0,33.3583771600301,0
"29","Nevada",-3,3,4,4,7,7,-8,49.8,64.6,30.6,16.2,-6,2,2,6,10,14,5,-13,6,3,0,6,13,9,1,2,3,6,7,3,-4,1,3,2,0,-2,-16,-7,2,0,0,0,-1,3,1,-10.115143565078,1
"30","New Hampshire",-1,0,3,7,13,15,-19,50.5,92.6,27.8,18.6,-6,0,0,6,15,21,-2,-52,-84,-103,22,97,51,150,-2,-1,-7,1,10,-5,-18,1,1,1,-2,-4,-26,-19,3,1,2,-1,-1,5,-2,58.2089552238806,0
"31","New Jersey",2,5,4,3,13,12,-8,51.1,67.1,30.3,16.6,-2,4,0,1,11,14,-3,2,17,-21,-43,33,13,78,3,4,1,1,6,-2,-6,2,3,2,0,0,-18,-15,1,-2,-1,0,-3,4,-1,30.9786130913804,1
"32","New Mexico",2,2,4,6,8,6,-16,50.6,73.9,32,18,-9,1,3,6,12,15,3,2,2,4,2,3,20,2,8,5,3,8,8,5,-17,-2,2,2,0,-3,-21,-10,2,-1,-1,-1,-1,2,1,6.38173302107727,1
"33","New York",4,6,5,5,10,6,-10,51.4,63.2,29.8,17,-4,4,0,4,9,11,-2,-12,7,-11,-11,23,-12,81,2,2,0,1,4,-5,-3,1,3,2,0,-1,-16,-12,1,-1,-1,-1,-2,4,-2,-4.49706713013253,1
"34","North Carolina",-3,2,2,4,10,6,-15,51.4,68.1,31.5,16.7,-8,2,0,3,10,11,-2,-18,1,-9,-7,25,40,3,-1,0,0,3,8,-1,-12,0,1,0,-3,-5,-23,-16,2,0,0,0,-1,4,2,-6.49722131415496,1
"35","North Dakota",-3,3,1,10,10,-4,-27,49,85.8,33.8,15.8,-5,4,-1,12,18,5,-11,-78,-17,-118,NA,59,67,50,3,2,-1,4,8,-16,-26,0,0,-1,-2,-6,-31,-19,2,0,3,0,-3,6,0,25.130890052356,0
"36","Ohio",0,4,5,7,11,7,-23,51,80.9,31.2,17.5,-6,3,5,9,14,17,-2,41,49,54,8,27,70,81,5,5,5,5,7,-3,-13,1,2,1,-2,-5,-26,-20,1,-1,-1,-1,-1,4,-1,0.26731470230863,0
"37","Oklahoma",-1,0,5,5,9,7,-17,50.4,72.4,33.7,16.1,-4,-1,2,8,10,15,1,4,-6,-9,-20,-10,35,26,4,1,3,5,9,2,-21,1,1,0,-2,-5,-24,-15,1,0,0,-1,0,4,-1,-0.103712922630161,0
"38","Oregon",-2,1,2,5,7,6,-17,50.5,83.5,29.1,18.2,-8,-1,0,4,10,14,4,-43,-26,-42,-19,9,21,21,-1,0,0,3,5,0,-13,0,2,1,-1,-2,-19,-13,2,1,1,0,-1,3,0,-7.52062105773896,1
"39","Pennsylvania",4,7,8,8,12,7,-21,51,79.6,29.5,18.6,-2,6,4,6,12,14,-6,11,35,28,-1,32,35,70,7,3,2,2,5,-6,-16,1,3,2,-1,-2,-22,-16,1,-2,-2,-1,-1,4,0,15.0621740874448,1
"40","Rhode Island",-2,0,-1,4,13,10,-11,51.2,78.7,29.5,17.6,-7,1,0,9,14,23,1,-47,-81,-108,-40,88,38,227,0,-2,-2,-1,5,3,-3,1,1,1,-1,-3,-21,-18,3,1,1,-1,-2,4,-3,-10.3950103950104,1
"41","South Carolina",-3,2,2,5,9,8,-18,51.7,66.7,30.7,18.2,-9,0,0,4,10,14,-1,-22,-11,-11,0,11,26,5,4,-1,0,7,8,-3,-27,1,1,0,-2,-5,-23,-17,2,1,0,-1,-1,5,1,-8.59175483400218,0
"42","South Dakota",3,4,5,9,17,8,-22,49.2,84.1,33.6,17.4,-1,5,5,11,23,20,-4,19,23,-31,13,119,143,104,16,4,5,6,14,2,-28,1,1,0,-1,-5,-30,-20,1,0,1,0,-2,3,0,9.91735537190081,0
"43","Tennessee",-1,1,2,4,10,8,-20,51.3,77.2,31.3,16.7,-5,-1,1,4,10,19,1,-3,-8,-13,-19,21,61,45,3,1,2,4,6,-1,-20,2,0,-1,-2,-5,-25,-19,2,1,1,1,-1,3,1,-8.44765881300328,0
"44","Texas",-4,1,2,2,5,5,-12,50.4,73.4,35.2,12.9,-8,2,2,4,8,12,0,-4,8,9,2,4,14,-3,-2,1,0,3,5,-1,-11,-1,1,0,-2,-3,-18,-15,3,0,-1,0,-1,3,2,-17.8932687591957,0
"45","Utah",-2,0,2,3,7,6,-19,49.8,87.3,40.3,11.3,-10,1,1,6,14,18,0,-69,-45,-34,3,21,48,22,0,0,1,4,7,-4,-12,-3,1,1,-1,-3,-23,-15,3,1,0,-1,-1,3,1,-9.59257349149046,0
"46","Vermont",-3,1,0,8,12,13,-14,50.5,93.8,28.6,20.1,-7,1,-1,8,14,18,0,-89,-83,-73,16,85,87,NA,-1,-1,1,2,3,-5,-5,-1,1,0,-1,-3,-22,-16,3,2,1,-1,-1,3,-2,9.52380952380953,0
"47","Virginia",-1,7,3,4,12,7,-14,50.8,67,31.3,15.9,-4,6,0,3,12,11,-2,-13,34,-2,-23,35,40,10,2,3,1,2,6,-2,-17,1,3,1,0,-1,-21,-15,1,-1,-1,0,-3,4,1,8.34648430650535,1
"48","Washington",0,1,2,4,7,8,-15,50,74.2,30.5,15.9,-7,-1,0,4,9,15,5,-19,-32,-71,-46,-37,14,79,1,0,-2,1,2,-3,-3,0,2,2,-1,-3,-19,-13,2,0,0,0,0,2,-2,-7.46320953048353,1
"49","West Virginia",-1,3,5,8,12,8,-19,50.6,93.1,28.5,20.4,-6,4,5,8,15,15,0,-34,20,31,13,33,48,66,7,5,10,10,17,7,-30,-2,2,1,-1,-3,-20,-11,2,-1,-2,0,-1,3,-1,14.8967551622419,0
"50","Wisconsin",2,2,7,9,12,11,-21,50.3,85.2,30.9,17.6,-4,3,6,10,16,19,-7,11,30,42,48,22,202,27,0,1,4,7,6,6,-14,0,1,0,-2,-6,-26,-21,2,0,-1,-1,-1,2,1,10.8299789150853,0
"51","Wyoming",1,3,5,9,17,9,-15,48.9,90.9,32.6,17.1,0,3,3,9,24,21,3,-21,-18,-37,22,116,NA,88,11,4,3,6,19,18,-17,0,1,2,-1,-4,-26,-13,2,1,1,-1,-3,3,0,30.0813008130081,0
