"","start_date","state","retail_rec_p1","grocery_rx_p1","parks_p1","transit_p1","workplaces_p1","residential_p1","end_date","retail_rec_p2","grocery_rx_p2","parks_p2","transit_p2","workplaces_p2","residential_p2","retail_rec_change","grocery_rx_change","parks_change","transit_change","workplace_change","residential_change"
"1",2020-06-21,"Alabama",-10,7,58,8,-15,2,2020-06-28,-10,1,58,11,-13,3,0,-6,0,3,2,1
"2",2020-06-22,"Alabama",-8,-1,30,2,-30,9,2020-06-29,-5,0,42,2,-29,8,3,1,12,0,1,-1
"3",2020-06-23,"Alabama",-7,2,29,-2,-29,9,2020-06-30,-2,3,34,0,-29,9,5,1,5,2,0,0
"4",2020-06-24,"Alabama",-3,2,28,0,-29,9,2020-07-01,4,9,35,5,-32,8,7,7,7,5,-3,-1
"5",2020-06-25,"Alabama",-6,4,38,1,-28,9,2020-07-02,6,18,54,12,-34,8,12,14,16,11,-6,-1
"6",2020-06-26,"Alabama",-9,-1,41,2,-29,9,2020-07-03,-3,18,76,0,-55,14,6,19,35,-2,-26,5
"7",2020-06-27,"Alabama",-11,3,59,19,-7,3,2020-07-04,-35,0,76,-9,-28,4,-24,-3,17,-28,-21,1
"8",2020-06-21,"Alaska",16,21,194,-3,-8,-2,2020-06-28,12,14,148,-6,-8,0,-4,-7,-46,-3,0,2
"9",2020-06-22,"Alaska",9,8,146,-2,-28,6,2020-06-29,12,13,152,-5,-26,6,3,5,6,-3,2,0
"10",2020-06-23,"Alaska",11,10,126,-6,-27,7,2020-06-30,20,19,170,0,-25,6,9,9,44,6,2,-1
"11",2020-06-24,"Alaska",14,16,145,-6,-26,7,2020-07-01,33,36,195,5,-26,4,19,20,50,11,0,-3
"12",2020-06-25,"Alaska",10,15,160,-2,-26,6,2020-07-02,26,37,215,5,-31,3,16,22,55,7,-5,-3
"13",2020-06-26,"Alaska",4,10,155,-6,-25,6,2020-07-03,11,31,288,-1,-53,7,7,21,133,5,-28,1
"14",2020-06-27,"Alaska",5,17,242,10,-10,-1,2020-07-04,-17,19,303,-3,-26,-1,-22,2,61,-13,-16,0
"15",2020-06-21,"Arizona",-23,-6,-19,-30,-12,4,2020-06-28,-25,-13,-19,-31,-14,6,-2,-7,0,-1,-2,2
