"","state","Sunday_groc","Monday_groc","Tuesday_groc","Wednesday_groc","Thursday_groc","Friday_groc","Saturday_groc"
"1","Alabama",-6,1,1,7,14,19,-3
"2","Alaska",-7,5,9,20,22,21,2
"3","Arizona",-7,1,1,5,7,9,1
"4","Arkansas",-8,0,4,4,8,18,0
"5","California",-7,2,0,4,9,15,1
"6","Colorado",-3,2,5,7,12,17,-3
"7","Connecticut",-8,-2,-2,3,10,16,0
"8","Delaware",-4,4,4,4,14,13,-5
"9","District of Columbia",-3,4,1,4,10,2,0
"10","Florida",-5,1,0,1,5,9,-5
"11","Georgia",-4,3,-1,6,9,15,-2
"12","Hawaii",-6,4,5,6,9,9,1
"13","Idaho",-14,-2,2,9,16,21,7
"14","Illinois",-7,4,1,7,12,26,-3
"15","Indiana",-5,2,1,6,13,18,1
"16","Iowa",-6,7,2,8,17,20,-4
"17","Kansas",-4,2,2,5,12,18,-1
"18","Kentucky",-6,-2,-2,5,11,14,3
"19","Louisiana",-5,5,5,11,10,11,-1
"20","Maine",-8,-3,-1,10,15,22,-1
"21","Maryland",-3,6,2,3,12,12,-4
"22","Massachusetts",-9,-1,1,4,9,15,-7
"23","Michigan",-4,5,6,9,14,18,-3
"24","Minnesota",-4,-1,3,7,13,9,-13
"25","Mississippi",-8,3,1,5,10,19,-5
"26","Missouri",-8,2,-2,6,14,20,1
"27","Montana",-8,-2,-2,8,17,17,9
"28","Nebraska",-5,6,3,9,17,25,3
"29","Nevada",-6,2,2,6,10,14,5
"30","New Hampshire",-6,0,0,6,15,21,-2
"31","New Jersey",-2,4,0,1,11,14,-3
"32","New Mexico",-9,1,3,6,12,15,3
"33","New York",-4,4,0,4,9,11,-2
"34","North Carolina",-8,2,0,3,10,11,-2
"35","North Dakota",-5,4,-1,12,18,5,-11
"36","Ohio",-6,3,5,9,14,17,-2
"37","Oklahoma",-4,-1,2,8,10,15,1
"38","Oregon",-8,-1,0,4,10,14,4
"39","Pennsylvania",-2,6,4,6,12,14,-6
"40","Rhode Island",-7,1,0,9,14,23,1
"41","South Carolina",-9,0,0,4,10,14,-1
"42","South Dakota",-1,5,5,11,23,20,-4
"43","Tennessee",-5,-1,1,4,10,19,1
"44","Texas",-8,2,2,4,8,12,0
"45","Utah",-10,1,1,6,14,18,0
"46","Vermont",-7,1,-1,8,14,18,0
"47","Virginia",-4,6,0,3,12,11,-2
"48","Washington",-7,-1,0,4,9,15,5
"49","West Virginia",-6,4,5,8,15,15,0
"50","Wisconsin",-4,3,6,10,16,19,-7
"51","Wyoming",0,3,3,9,24,21,3
