"","state","Sunday_transit","Monday_transit","Tuesday_transit","Wednesday_transit","Thursday_transit","Friday_transit","Saturday_transit"
"1","Alabama",3,0,2,5,11,-2,-28
"2","Alaska",-3,-3,6,11,7,5,-13
"3","Arizona",-1,2,0,1,4,-1,-10
"4","Arkansas",6,2,1,2,3,0,-25
"5","California",0,1,-1,1,3,-1,-9
"6","Colorado",3,3,3,5,6,0,-12
"7","Connecticut",-2,0,-1,5,9,-3,-6
"8","Delaware",0,1,3,0,4,-8,-21
"9","District of Columbia",-1,2,1,1,1,-7,1
"10","Florida",-1,-1,-1,1,3,-3,-12
"11","Georgia",4,0,2,5,7,-1,-17
"12","Hawaii",1,0,0,3,5,-5,-6
"13","Idaho",2,-4,1,8,12,1,-18
"14","Illinois",1,4,-1,4,5,5,-13
"15","Indiana",7,2,3,7,10,-1,-15
"16","Iowa",3,6,0,5,6,0,-21
"17","Kansas",9,2,1,5,10,-7,-23
"18","Kentucky",4,2,2,5,8,-2,-18
"19","Louisiana",0,4,4,12,10,0,-13
"20","Maine",9,-6,-6,8,12,4,-21
"21","Maryland",1,4,2,2,5,-3,-15
"22","Massachusetts",-1,-1,-1,3,5,-3,-5
"23","Michigan",11,7,6,5,8,1,-11
"24","Minnesota",1,-4,-3,0,1,-8,-17
"25","Mississippi",3,2,5,6,6,-2,-26
"26","Missouri",3,2,-2,3,8,1,-14
"27","Montana",2,-1,0,11,23,9,-17
"28","Nebraska",5,6,-1,4,7,3,-14
"29","Nevada",1,2,3,6,7,3,-4
"30","New Hampshire",-2,-1,-7,1,10,-5,-18
"31","New Jersey",3,4,1,1,6,-2,-6
"32","New Mexico",8,5,3,8,8,5,-17
"33","New York",2,2,0,1,4,-5,-3
"34","North Carolina",-1,0,0,3,8,-1,-12
"35","North Dakota",3,2,-1,4,8,-16,-26
"36","Ohio",5,5,5,5,7,-3,-13
"37","Oklahoma",4,1,3,5,9,2,-21
"38","Oregon",-1,0,0,3,5,0,-13
"39","Pennsylvania",7,3,2,2,5,-6,-16
"40","Rhode Island",0,-2,-2,-1,5,3,-3
"41","South Carolina",4,-1,0,7,8,-3,-27
"42","South Dakota",16,4,5,6,14,2,-28
"43","Tennessee",3,1,2,4,6,-1,-20
"44","Texas",-2,1,0,3,5,-1,-11
"45","Utah",0,0,1,4,7,-4,-12
"46","Vermont",-1,-1,1,2,3,-5,-5
"47","Virginia",2,3,1,2,6,-2,-17
"48","Washington",1,0,-2,1,2,-3,-3
"49","West Virginia",7,5,10,10,17,7,-30
"50","Wisconsin",0,1,4,7,6,6,-14
"51","Wyoming",11,4,3,6,19,18,-17
